"Rank","University","Score","Country","Twitter_Name","Twitter_ID","Friends"
1,"Harvard University",100,"USA","Harvard","39585367",0
2,"California Institute of Technology (Caltech)",98.137,"USA","Caltech","16536844",0
3,"Imperial College London",97.706,"UK","imperialcollege","15353955",0
4,"Stanford University",97.604,"USA","Stanford","18036441",0
5,"Yale University",97.506,"USA","Yale","5695032",0
6,"Massachusetts Institute of Technology (MIT)",97.364,"USA","MIT","15460048",0
7,"ETH Zurich (Swiss Federal Institute of Technology)",96.187,"Switzerland","ETH_en","204279080",0
8,"Columbia University",95.393,"USA","Columbia","248795646",0
9,"University of Cambridge",95.258,"UK","Cambridge_Uni","33474655",0
10,"University of Oxford",94.989,"UK","UniofOxford","48289662",0
11,"University of Chicago",94.712,"USA","UChicago","131144285",0
12,"Karolinska Institute",94.642,"Sweden","karolinskainst","26710622",0
13,"Johns Hopkins University",94.299,"USA","JohnsHopkins","14441010",0
14,"University College London",94.172,"UK","ucl","322601789",0
15,"Northwestern University",94.117,"USA","NorthwesternU","33639255",0
16,"Princeton University",93.993,"USA","Princeton","5694822",0
17,"Ecole Polytechnique Federale de Lausanne",93.75,"Switzerland","EPFL","108364911",0
18,"University of Pennsylvania",93.525,"USA","IUPedu","16422886",0
19,"Cornell University",92.271,"USA","Cornell","17369110",0
20,"Washington University in St. Louis",91.325,"USA","WUSTL","17815224",0
21,"Carnegie Mellon University",90.608,"USA","CarnegieMellon","17631078",0
22,"Scuola Normale Superiore di Pisa",90.345,"Italy","scuolanormale","305449685",0
23,"Case Western Reserve University",90.314,"USA","cwru","16290017",0
24,"University of Michigan",89.447,"USA","UMich","88836132",0
25,"Boston University",89.443,"USA","BU_Tweets","104561488",0
26,"Brown University",89.043,"USA","BrownUniversity","14884486",0
27,"Technical University of Denmark",88.842,"Denmark","DTUtweet","294010596",0
28,"Seoul National University",88.52,"Republic of Korea","SNUnow","317658876",0
29,"Rice University",88.292,"USA","RiceUniversity","19720630",0
30,"Royal Institute of Technology (KTH)",88.173,"Sweden","KTHuniversity","1547563471",0
31,"University of Edinburgh",87.837,"UK","EdinburghUni","23426889",0
32,"University of California, Los Angeles",87.674,"USA","UCLA","18918483",0
33,"Pohang University of Science and Technology",87.159,"Republic of Korea","postech2020","108232814",0
34,"New York University",86.848,"USA","nyuniversity","28421825",0
35,"Peking University",86.74,"China","PKU1898","850157859065151488",0
36,"Tufts University",86.468,"USA","TuftsUniversity","15168790",0
37,"University of Wisconsin - Madison",86.418,"USA","UWMadison","15763818",0
38,"King`s College London",86.399,"UK","KingsCollegeLon","22624441",0
39,"McGill University",86.373,"Canada","mcgillu","18065266",0
40,"Wageningen University and Research Center",86.116,"Netherlands","WUR","20045134",0
42,"University of Pittsburgh",86.051,"USA","PitTweet","4748329276",0
42,"University of Tokyo",86.051,"Japan","UTokyo_News_en","305339576",0
43,"Emory University",85.995,"USA","EmoryUniversity","16438655",0
44,"Lund University",85.692,"Sweden","lunduniversity","26267038",0
45,"Australian National University",85.664,"Australia","ANUmedia","41699268",0
46,"Tsinghua University",85.557,"China","Tsinghua_Uni","4300743322",0
47,"University of Bern",85.365,"Switzerland","unibern","60514114",0
48,"Korea Advanced Institute of Science and Technology (KAIST)",85.287,"Republic of Korea","kaistpr","1395992863",0
49,"Vanderbilt University",85.054,"USA","VanderbiltU","14775752",0
50,"University of Lausanne",85,"Switzerland","unil","227358393",0
51,"University of Twente",84.63,"Netherlands","UTwente","18991614",0
52,"University of California, Berkeley",84.502,"USA","UCBerkeley","176932593",0
53,"Chalmers University of Technology",84.156,"Sweden","chalmersuniv","2492619936",0
54,"University of Minnesota",84.15,"USA","UMNews","18917572",0
55,"Ludwig Maximilian University of Munich",84.048,"Germany","LMU_Muenchen","91982547",0
56,"University of Washington",83.76,"USA","UW","27103822",0
57,"University of Helsinki",83.736,"Finland","helsinkiuni","168607383",0
58,"University of Zurich",83.631,"Switzerland","UZH_en","460255493",0
59,"University of Toronto",83.556,"Canada","UofT","821814254",0
60,"Nanyang Technological University",83.252,"Singapore","NTUsg","217313010",0
61,"University of Southampton",83.011,"UK","unisouthampton","26203004",0
62,"University of Manchester",82.985,"UK","OfficialUoM","2217874898",0
63,"University of British Columbia",82.932,"Canada","UBC","28453440",0
64,"National University of Singapore",82.807,"Singapore","NUSingapore","67260538",0
65,"University of California, San Diego",82.757,"USA","UCSanDiego","338660808",0
66,"Pierre and Marie Curie University (Sorbonne University)",82.696,"France","Sorbonne_Univ_","940938863790428160",0
67,"Technical University of Munich",82.65,"Germany","TU_Muenchen","49567644",0
68,"University of California, Davis",82.631,"USA","ucdavis","15987188",0
69,"University of North Carolina",82.383,"USA","UNC","20683724",0
70,"Ruprecht Karl University of Heidelberg",82.378,"Germany","UniHeidelberg","145182442",0
71,"University of Sydney",82.279,"Australia","Sydney_Uni","20104025",0
72,"University of Geneva",82.265,"Switzerland","unige_en","3345275435",0
73,"University of Rochester",82.221,"USA","UofR","14778782",0
