from,to
39585367,991401647439073280
39585367,1022223787327201280
39585367,895350488031531012
39585367,784531327555080193
39585367,1653477433
39585367,129267502
39585367,711974012
39585367,137836269
39585367,15134240
39585367,263264823
39585367,974776387130273792
39585367,101858228
39585367,1035928213
39585367,88836132
39585367,703607263412535296
39585367,913415007651627008
39585367,1513647152
39585367,1618165723
39585367,728272303092551680
39585367,781251776
39585367,490587864
39585367,1671289453
39585367,88383387
39585367,968525305349591040
39585367,821763194372943872
39585367,321507436
39585367,41595481
39585367,50875746
39585367,558148770
39585367,3290364847
39585367,360745274
39585367,1002353162
39585367,991745802
39585367,1206046357
39585367,4315490310
39585367,909963743714529280
39585367,717750249079570432
39585367,900088826013659136
39585367,2217184142
39585367,2767875475
39585367,1225914595
39585367,910198504068444160
39585367,866734275206500353
39585367,2246971629
39585367,392742140
39585367,29898944
39585367,392375138
39585367,2488960351
39585367,35402769
39585367,110770469
39585367,3433164214
39585367,913045947076239360
39585367,261825774
39585367,1315071697
39585367,2687936976
39585367,2884388841
39585367,97505649
39585367,1400425381
39585367,89079680
39585367,124455872
39585367,2777030443
39585367,19258235
39585367,790397542957740032
39585367,631122840
39585367,2876700101
39585367,1329887624
39585367,817379592310767616
39585367,3064128790
39585367,3213203560
39585367,107193637
39585367,2290158614
39585367,54222010
39585367,2354893956
39585367,267313816
39585367,262268547
39585367,109019575
39585367,1431560286
39585367,253095076
39585367,1148412056
39585367,1613632406
39585367,2815134877
39585367,849904814
39585367,372322432
39585367,1359781525
39585367,260011059
39585367,111120394
39585367,424461303
39585367,59503067
39585367,619149141
39585367,188855048
39585367,741474641018028032
39585367,3903974001
39585367,338416941
39585367,282595400
39585367,732944271364476928
39585367,109929215
39585367,705374152002301952
39585367,2384046140
39585367,220469022
39585367,3429926152
39585367,2508075840
39585367,211599267
39585367,4353256475
39585367,1975695888
39585367,309937733
39585367,2244260844
39585367,92059997
39585367,2909713155
39585367,1725985022
39585367,753049436650147840
39585367,73125667
39585367,609353116
39585367,1275193292
39585367,1936052557
39585367,4558314927
39585367,2350805298
39585367,2444149844
39585367,381443589
39585367,39542611
39585367,3380387177
39585367,197161382
39585367,1713309031
39585367,709382318788644866
39585367,2213275988
39585367,2563594550
39585367,237360251
39585367,190691067
39585367,4142570945
39585367,476223503
39585367,2744944531
39585367,30450430
39585367,93404720
39585367,2472704857
39585367,8775672
39585367,10126672
39585367,19611483
39585367,54885400
39585367,67698363
39585367,2163745015
39585367,2792470337
39585367,705121898800267264
39585367,237548529
39585367,12
39585367,15980503
39585367,538574833
39585367,564106953
39585367,3064976818
39585367,4010449719
39585367,4105351109
39585367,4150033398
39585367,3057125931
39585367,2362791222
39585367,4013737199
39585367,2575993316
39585367,813250657
39585367,473315786
39585367,3300488123
39585367,2578833583
39585367,3308042168
