university,id,country,location,lat,lng,color
Harvard University,39585367,US,Cambridge,42.3751,-71.10561,#FF0000
California Institute of Technology (Caltech),16536844,US,Pasadena,29.69106,-95.2091,#FD0001
Imperial College London,15353955,UK,London,51.50853,-0.12574,#FC0002
Stanford University,18036441,US,Stanford,37.42411,-122.16608,#FB0003
Yale University,5695032,US,New Haven,41.30815,-72.92816,#FA0004
Massachusetts Institute of Technology (MIT),15460048,US,Cambridge,42.3751,-71.10561,#F90005
ETH Zurich (Swiss Federal Institute of Technology),204279080,CH,Zürich,47.36667,8.55,#F80006
Columbia University,248795646,US,New York,40.71427,-74.00597,#F70007
University of Cambridge,33474655,UK,Cambridge,52.2,0.11667,#F50009
University of Oxford,48289662,UK,Oxford,51.75222,-1.25596,#F4000A
University of Chicago,131144285,US,Chicago,41.85003,-87.65005,#F3000B
Karolinska Institute,26710622,SE,Stockholm,59.33258,18.0649,#F2000C
Johns Hopkins University,14441010,US,Baltimore,39.29038,-76.61219,#F1000D
University College London,322601789,UK,London,51.50853,-0.12574,#F0000E
Northwestern University,33639255,US,Evanston,42.04114,-87.69006,#EF000F
Princeton University,5694822,US,Princeton,40.34872,-74.65905,#ED0011
Ecole Polytechnique Federale de Lausanne,108364911,CH,Lausanne,46.516,6.63282,#EC0012
University of Pennsylvania,24894213,US,Philadelphia,39.95233,-75.16379,#EB0013
Cornell University,17369110,US,Ithaca,42.44063,-76.49661,#EA0014
Washington University in St. Louis,17815224,US,St. Louis,38.63162,-90.24925,#E90015
Carnegie Mellon University,17631078,US,Pittsburgh,40.44062,-79.99589,#E80016
Scuola Normale Superiore di Pisa,305449685,IT,Pisa,43.70853,10.4036,#E70017
Case Western Reserve University,16290017,US,Cleveland,41.4995,-81.69541,#E50019
University of Michigan,88836132,US,Ann Arbor,42.27756,-83.74088,#E4001A
Boston University,104561488,US,Boston,42.35843,-71.05977,#E3001B
Brown University,14884486,US,Providence,41.82399,-71.41283,#E2001C
Technical University of Denmark,294010596,DK,Copenhagen,55.67594,12.56553,#E1001D
Seoul National University,317658876,KR,Seoul,37.566,126.9784,#E0001E
Rice University,19720630,US,Houston,29.76328,-95.36327,#DF001F
Royal Institute of Technology (KTH),1547563471,SE,Stockholm,59.32938,18.06871,#DD0021
University of Edinburgh,23426889,UK,Edinburgh,55.95206,-3.19648,#DC0022
"University of California, Los Angeles",18918483,US,Los Angeles,34.05223,-118.24368,#DB0023
Pohang University of Science and Technology,108232814,KR,Pohang,36.02917,129.36481,#DA0024
New York University,28421825,US,New York,40.71427,-74.00597,#D90025
Peking University,850157859065151500,CN,Beijing,39.9075,116.39723,#D80026
Tufts University,15168790,US,Medford,42.32652,-122.87559,#D70027
University of Wisconsin - Madison,15763818,US,Madison,43.07305,-89.40123,#D60028
King`s College London,22624441,UK,London,51.50853,-0.12574,#D4002A
McGill University,18065266,CA,Montréal,45.50884,-73.58781,#D3002B
Wageningen University and Research Center,20045134,NL,Wageningen,51.97,5.66667,#D2002C
University of Pittsburgh,68503423,US,Pittsburgh,40.44062,-79.99589,#D1002D
University of Tokyo,305339576,JP,Tokyo,35.6895,139.69171,#D0002E
Emory University,16438655,US,Atlanta,33.749,-84.38798,#CF002F
Lund University,26267038,SE,Lund,55.70584,13.19321,#CE0030
Australian National University,41699268,AU,Canberra,-35.28346,149.12807,#CC0032
Tsinghua University,4300743322,CN,Beijing,39.9075,116.39723,#CB0033
