rank,university,score,country,location,twitter_name,id,language,verified,description,n_posts,followers_count,friends_count
1,Harvard University,100,USA,"Cambridge, MA",Harvard,39585367,en,TRUE,"Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",42503,1013926,768
2,California Institute of Technology (Caltech),98.137,USA,"Pasadena, CA",Caltech,16536844,en,TRUE,"At the California Institute of Technology, extraordinary faculty and students translate big ideas into big discoveries.",7233,78925,553
3,Imperial College London,97.706,UK,London,imperialcollege,15353955,en,TRUE,We are a STEM-based university with an international reputation for excellence in teaching and research. #OurImperial,15149,104883,3309
4,Stanford University,97.604,USA,"Stanford, CA",Stanford,18036441,en,TRUE,Stanford is one of the world's leading research and teaching institutions. Official Twitter feed by University Communications.,19472,718399,517
5,Yale University,97.506,USA,"New Haven, CT",Yale,5695032,en,TRUE,"News, events and updates from Yale University.",22935,483238,280
6,Massachusetts Institute of Technology (MIT),97.364,USA,"Cambridge, MA",MIT,15460048,en,TRUE,The Massachusetts Institute of Technology is a world leader in research and education. Related accounts: @MITevents,16952,1049946,539
7,ETH Zurich (Swiss Federal Institute of Technology),96.187,Switzerland,,ETH_en,204279080,en,TRUE,"This is the official Twitter account of ETH Zurich in English. Stay tuned for the latest news on research, technology and education. Deutscher Account: @eth",4416,39024,404
8,Columbia University,95.393,USA,"New York, New York",Columbia,248795646,en,TRUE,,25363,341133,602
9,University of Cambridge,95.258,UK,"Cambridge, England",Cambridge_Uni,33474655,en,TRUE,News and events from the University of Cambridge,10653,498454,1312
10,University of Oxford,94.989,UK,"Oxford, UK",UniofOxford,48289662,ca,TRUE,"Official Twitter account for the University of Oxford, one of the world's leading universities.",17080,559562,1197
11,University of Chicago,94.712,USA,"Chicago, Illinois",UChicago,131144285,en,TRUE,"The official Twitter feed of the University of Chicago, run by https://t.co/6AI06ltkyw Accessibility questions? Email social-media@uchicago.edu.",19859,56163,1621
12,Karolinska Institute,94.642,Sweden,"Stockholm, Sweden",karolinskainst,26710622,en,FALSE,News from the Swedish medical university Karolinska Institutet (KI).,3608,21057,158
13,Johns Hopkins University,94.299,USA,"Baltimore, MD",JohnsHopkins,14441010,en,TRUE,America’s first research university. Leading discovery and sharing knowledge to better the world since 1876.,33227,86067,4975
14,University College London,94.172,UK,London,ucl,322601789,en,TRUE,"Sharing highlights of life at UCL (University College London), London’s leading multidisciplinary university. Follow @uclnews for news, @uclevents for events.",4006,69373,909
15,Northwestern University,94.117,USA,"Evanston, IL",NorthwesternU,33639255,en,TRUE,"The official Twitter account of Northwestern University, highlighting breakthrough research, leading faculty and the student experience.",14169,61349,1722
16,Princeton University,93.993,USA,"Princeton, NJ",Princeton,5694822,en,TRUE,The official Twitter account of Princeton University. Use #PrincetonU to join the conversation.,35253,374325,1572
17,Ecole Polytechnique Federale de Lausanne,93.75,Switzerland,"Lausanne, Switzerland",EPFL,108364911,fr,TRUE,"Bienvenue sur le compte officiel de l'Ecole polytechnique fédérale de Lausanne. English speaking account: @EPFL_en. 50 ans de l'EPFL:
https://t.co/Bemm4X5TJS",7606,42003,1097
18,University of Pennsylvania,93.525,USA,"Philadelphia, PA",Penn,24894213,en,TRUE,"Official page for news, events and interesting updates from the University of Pennsylvania. Account managed by University Communications.",32475,149250,1185
19,Cornell University,92.271,USA,"Ithaca, New York",Cornell,17369110,en,TRUE,Learning. Discovery. Engagement. Join the #Cornell conversation.,18417,281695,542
20,Washington University in St. Louis,91.325,USA,"St. Louis, MO",WUSTL,17815224,en,TRUE,Where people matter and serious work is done. Share your experiences with #WashU and look for WUSTL_Official on Instagram and Snapchat.,10784,34352,877
21,Carnegie Mellon University,90.608,USA,"Pittsburgh, PA",CarnegieMellon,17631078,en,TRUE,"United by curiosity and driven by passion, we reach across disciplines, forge new ground and deploy our expertise to make real change that benefits humankind.",11993,55745,1111
